NCT ID,Title,Status,Phase,Enrollment,Sites,Start Date,Primary Completion,Lead Sponsor,Sponsor Type,Conditions,Interventions,Countries,Min Age,Max Age,Sex
NCT05038696,ALaCART-B: Acute Leukemia and Chimeric Antigen Receptor-T Cell Therapy for B-lymphoblastic Leukemia.,RECRUITING,PHASE1,40,1,2021-04-28,2026-05-01,"National University Hospital, Singapore",Academic/Medical Center,"Lymphoblastic Leukemia, Acute, Childhood, Lymphoblastic Leukemia, Lymphoblastic Leukemia, Acute Adult, Lymphoblastic Leukemia in Children, CAR, CAR T-Cell-Related Encephalopathy Syndrome",CAR T-cell therapy,Singapore,6 Months,80 Years,ALL
NCT03765177,CLIC-1901 for the Treatment of Patients With Relapsed/Refractory CD19 Positive Hematologic Malignancies,RECRUITING,"PHASE1, PHASE2",60,3,2019-10-16,2027-01,Ottawa Hospital Research Institute,Academic/Medical Center,"Acute Lymphoblastic Leukemia, Non-Hodgkin's Lymphoma, Chronic Lymphocytic Leukemia",CLIC-1901,Canada,18 Years,75 Years,ALL
NCT03937544,Intravenous Autologous CD19 CAR-T Cells for R/R B-ALL,RECRUITING,"PHASE2, PHASE3",10,1,2019-03-19,2027-01-18,National University of Malaysia,Academic/Medical Center,"Relapsed B Acute Lymphoblastic Leukaemia, Refractory B Acute Lymphoblastic Leukaemia",CD19 CAR-T CELLS; Cyclophosphamide; Fludarabine,Malaysia,13 Years,65 Years,ALL
NCT04094311,Study of Out of Specification for Tisagenlecleucel,RECRUITING,PHASE3,200,53,2019-11-21,2027-03-31,Novartis Pharmaceuticals,Industry,"B-cell Acute Lymphoblastic Leukemia, Diffuse Large B-cell Lymphoma",CTL019,"Canada, Japan",0 Years,100 Years,ALL
NCT07072494,CD19 CAR-T Cell Infusion as Consolidation Therapy in Adolescent and Adult Patients With Acute B-ALL Ineligible for Allogeneic HSCT: A Clinical Study,RECRUITING,"PHASE1, PHASE2",30,2,2025-07-19,2027-03-19,Zhujiang Hospital,Academic/Medical Center,Acute Lymphoblastic Leukemia,CD19 CAR-T cells injection,China,14 Years,80 Years,ALL
NCT05054257,CART19 Cells Effects in Patients with Relapsed or Refractory Acute Lymphoblastic Leukemia and Non-Hodgkin's Lymphoma,RECRUITING,PHASE1,10,1,2021-06-02,2025-06-01,"Institute of Hematology and Blood Transfusion, Czech Republic",Academic/Medical Center,"Relapsed or Refractory B-cell Acute Lymphoblastic Leukemia, Non-Hodgkin's Lymphoma Refractory, Non-Hodgkin's Lymphoma, Relapsed",Autologous CAR19 T lymphocytes,Czechia,18 Years,80 Years,ALL
NCT05648019,CD19-Directed Chimeric Antigen Receptor (CAR) T-Cell Therapy for Relapsed/Refractory B-Lineage Leukaemia / Lymphoma - A Feasibility Protocol,RECRUITING,PHASE2,40,2,2022-03-15,2025-12,KK Women's and Children's Hospital,Academic/Medical Center,"Lymphoblastic Leukemia, Lymphoblastic Leukemia in Children, Lymphoblastic Leukemia, Acute Adult, B-cell Acute Lymphoblastic Leukemia, Large B-cell Lymphoma, CAR",Anti-CD19 CAR T-cells,Singapore,0 Years,70 Years,ALL
NCT05621291,A Study to Evaluate Next-Generation Sequencing (NGS) Testing and Monitoring of B-cell Recovery to Guide Management Following Chimeric Antigen Receptor T-cell (CART) Induced Remission in Children and Young Adults With B Lineage Acute Lymphoblastic Leu...,RECRUITING,NA,60,8,2026-03-11,2026-12-31,National Cancer Institute (NCI),Government,"B-All, Acute Lymphoblastic Leukemia",NGS testing,United States,1 Year,25 Years,ALL
NCT07048535,"CAR T-cell Long-Term Follow-Up, Quality of Life and Adverse Reactions",RECRUITING,N/A,80,1,2025-10-24,2028-07,St. Jude Children's Research Hospital,Academic/Medical Center,B-Cell Acute Lymphoblastic Leukemia (B-ALL),,United States,N/A,N/A,ALL
NCT01853631,"Activated T-Cells Expressing 2nd or 3rd Generation CD19-Specific CAR, Advanced B-Cell NHL, ALL, and CLL (SAGAN)",RECRUITING,PHASE1,64,2,2014-02,2026-12,Baylor College of Medicine,Academic/Medical Center,"Non-Hodgkin Lymphoma, Chronic Lymphocytic Leukemia, Acute Lymphocytic Leukemia",Dose Escalation Phase:CD19.CAR/28 and CD19.CAR/28137 T cells; Expansion Phase: CD19.CAR/28 and CD19.CAR/28137 T cells,United States,N/A,75 Years,ALL
NCT06735495,CD19 & CD22 Bispecific CAR T Cells in the Treatment of Relapsed/Refractory B Cell Hematologic Tumors,RECRUITING,"PHASE1, PHASE2",80,1,2024-11-04,2027-12-31,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Academic/Medical Center,B-Cell Lymphoblastic Leukemia/Lymphoma,CD19&CD22 bispecific CAR-T cells,China,3 Years,75 Years,ALL
NCT06880913,Nanobody-Based CD19/CD22 Tandem Dual CAR-T Therapy for R/R B-ALL,RECRUITING,"PHASE1, PHASE2",30,1,2024-11-14,2025-12-31,Peking University People's Hospital,Academic/Medical Center,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,Nanobody-Based CD19/CD22 Tandem Dual CAR-T,China,3 Years,65 Years,ALL
NCT04781634,a Clinical Research of CD19 and CD22 Targeted Prime CAR-T Cell in Relapsed/Refractory B-ALL,RECRUITING,"PHASE1, PHASE2",40,1,2021-03-07,2026-12-31,"Chongqing Precision Biotech Co., Ltd",Industry,B-ALL,CD19 and CD22 targeted prime CAR-T cells,China,2 Years,75 Years,ALL
NCT05535855,UCD19 CAR T Therapy in Adults With B-ALL and MRD Positivity in CR1,RECRUITING,PHASE1,29,1,2024-01-24,2027-06-30,"University of Colorado, Denver",Academic/Medical Center,"Acute Lymphoid Leukemia, Acute Lymphoblastic Leukemia",CD19 Directed CAR T Cell,United States,18 Years,N/A,ALL
